Total Amount,Date,SICK LEGEND,TEKKNO,HYPERTECHNO,TECHNO N TEQUILLA,DRILL GATES,SPED UP DRILL GATES,11:11 Music Group,TWO PUNKS IN LOVE,RAINY JASPER,AMBIENT JASPER,90210,DEADBOY,REAL ARTISTS
1642489,"January 28, 2023",536921,122234,0,0,108131,1333,849924,0,2818,819,16,20293,
1776336,"January 27, 2023",629875,134057,0,0,110898,1255,876294,0,3132,905,19,19901,
1689249,"January 26, 2023",574721,119551,0,0,102027,1357,869175,0,3126,983,80,18229,
1675440,"January 25, 2023",584262,107870,0,0,92173,1144,868110,0,3134,1024,77,17646,
1667310,"January 24, 2023",587530,106392,0,0,89071,1004,861668,0,3283,978,69,17315,
1648429,"January 23, 2023",569383,105453,0,0,84639,944,865661,0,3345,859,88,18057,
1443425,"January 22, 2023",446061,85307,0,0,77139,964,813357,0,3149,903,73,16472,
1574985,"January 21, 2023",511687,101643,0,0,82716,1053,856227,0,2900,825,125,17809,
1687600,"January 20, 2023",595397,112068,0,0,85454,1160,871455,0,3006,881,308,17871,
1623422,"January 19, 2023",550470,105259,0,0,89901,1112,852262,0,3281,984,18,20135,
1648110,"January 18, 2023",558709,106792,0,0,92200,910,863573,0,3315,992,8,21611,
1658634,"January 17, 2023",577397,106689,0,0,84495,896,864815,0,3105,1068,6,20163,
1605205,"January 16, 2023",558359,96597,0,0,79552,1007,845893,0,2888,1040,10,19859,
1461543,"January 15, 2023",459500,83915,0,0,77018,1078,818350,0,2790,908,15,17969,
1570463,"January 14, 2023",537297,99758,0,0,78627,1094,833214,0,2664,839,13,16957,
1718337,"January 13, 2023",635776,115697,0,0,86657,1259,856925,0,2958,959,7,18099,
1646265,"January 12, 2023",592735,100770,0,0,88746,1306,841311,0,3069,987,6,17335,
1647586,"January 11, 2023",606001,97734,0,0,96153,1653,824953,0,3197,960,4,16931,
1605313,"January 10, 2023",639997,84411,0,0,79512,1496,781836,0,3352,982,2,13725,
1530688,"January 9, 2023",614792,76992,0,0,69290,1446,752953,0,3251,1067,4,10893,
1337721,"January 8, 2023",493416,65273,0,0,66152,1363,697528,0,3122,931,3,9933,
1415545,"January 7, 2023",562587,78258,0,0,75952,1559,683005,0,2781,867,2,10534,
1438599,"January 6, 2023",601595,79491,0,0,71070,2205,669623,0,3230,957,1,10427,
1364872,"January 5, 2023",579131,73292,0,0,69032,1976,627135,0,3406,899,0,10001,
1324331,"January 4, 2023",576811,69248,0,0,66047,1124,597622,0,3051,1029,0,9399,
1301705,"January 3, 2023",583561,68682,0,0,63643,1039,571157,0,3458,1014,0,9151,
1261508,"January 2, 2023",561439,68914,0,0,61593,1112,555073,0,3074,901,0,9402,
1000566,"January 1, 2023",399237,52846,0,0,51165,955,485387,0,2410,761,0,7805,
